"Country","OECD_Code","WB_Code","WB_Name"
"Austria","O22","AUT","Austria"
"Belgium","O22","BEL","Belgium"
"Czechia","O22","CZE","Czech Republic"
"Denmark","O22","DNK","Denmark"
"Estonia","O22","EST","Estonia"
"Finland","O22","FIN","Finland"
"France","O22","FRA","France"
"Germany","O22","DEU","Germany"
"Fed. Rep. of Germany (...1990)","O22","DEU","Germany"
"Greece","O22","GRC","Greece"
"Hungary","O22","HUN","Hungary"
"Ireland","O22","IRL","Ireland"
"Italy","O22","ITA","Italy"
"Latvia","O22","LVA","Latvia"
"Lithuania","O22","LTU","Lithuania"
"Luxembourg","O22","LUX","Luxembourg"
"Netherlands","O22","NLD","Netherlands"
"Poland","O22","POL","Poland"
"Portugal","O22","PRT","Portugal"
"Slovakia","O22","SVK","Slovak Republic"
"Slovenia","O22","SVN","Slovenia"
"Spain","O22","ESP","Spain"
"Sweden","O22","SWE","Sweden"
"Belgium-Luxembourg (...1998)","O22","BEL","Belgium"
"Bulgaria","EU5","BGR","Bulgaria"
"Croatia","EU5","HRV","Croatia"
"Cyprus","EU5","CYP","Cyprus"
"Malta","EU5","MLT","Malta"
"Romania","EU5","ROU","Romania"
"Iceland","OE6","ISL","Iceland"
"Norway","OE6","NOR","Norway"
"Switzerland","OE6","CHE","Switzerland"
"Türkiye","OE6","TUR","Turkey"
"United Kingdom","OE6","GBR","United Kingdom"
"Israel","OE6","ISR","Israel"
"Canada","OAM","CAN","Canada"
"Chile","OAM","CHL","Chile"
"Colombia","OAM","COL","Colombia"
"Costa Rica","OAM","CRI","Costa Rica"
"Mexico","OAM","MEX","Mexico"
"USA","OAM","USA","United States"
"Japan","OPA","JPN","Japan"
"Rep. of Korea","OPA","KOR","Korea, Rep."
"Australia","OCE","AUS","Australia"
"New Zealand","OCE","NZL","New Zealand"
"Albania","RAN","ALB","Albania"
"Armenia","RAN","ARM","Armenia"
"Azerbaijan","RAN","AZE","Azerbaijan"
"Belarus","RAN","BLR","Belarus"
"Bosnia Herzegovina","RAN","BIH","Bosnia and Herzegovina"
"Georgia","RAN","GEO","Georgia"
"Kazakhstan","RAN","KAZ","Kazakhstan"
"Kyrgyzstan","RAN","KGZ","Kyrgyz Republic"
"Montenegro","RAN","MNE","Montenegro"
"North Macedonia","RAN","MKD","North Macedonia"
"Rep. of Moldova","RAN","MDA","Moldova"
"Russian Federation","RAN","RUS","Russian Federation"
"Serbia","RAN","SRB","Serbia"
"Serbia and Montenegro (...2005)","RAN","SRB","Serbia"
"Tajikistan","RAN","TJK","Tajikistan"
"Turkmenistan","RAN","TKM","Turkmenistan"
"Ukraine","RAN","UKR","Ukraine"
"Uzbekistan","RAN","UZB","Uzbekistan"
"Faroe Isds","RAN","FRO","Faroe Islands"
"Andorra","RAN","AND","Andorra"
"Algeria","MEN","DZA","Algeria"
"Bahrain","MEN","BHR","Bahrain"
"Egypt","MEN","EGY","Egypt, Arab Rep."
"Iran","MEN","IRN","Iran, Islamic Rep."
"Iraq","MEN","IRQ","Iraq"
"Jordan","MEN","JOR","Jordan"
"Kuwait","MEN","KWT","Kuwait"
"Lebanon","MEN","LBN","Lebanon"
"Libya","MEN","LBY","Libya"
"Morocco","MEN","MAR","Morocco"
"Oman","MEN","OMN","Oman"
